출발 시군구 코드,도착 시군구 코드,자치구,정류장수,노선수,승차 총 승객수,하차 총 승객수,승차 평균 승객수,하차 평균 승객수,총 이동시간,총 이동인구,평균 이동 시간(분),이동인구(합),택시운송업,택시운송업.1,한식 일반 음식점업,한식 일반 음식점업.1,용달 화물자동차 운송업,용달 화물자동차 운송업.1,부동산 중개 및 대리업,부동산 중개 및 대리업.1,두발미용업,두발미용업.1,커피전문점,커피전문점.1,남녀용 겉옷 및 셔츠 도매업,남녀용 겉옷 및 셔츠 도매업.1,기타주점업,기타주점업.1,일반 교과 학원,일반 교과 학원.1,한식 육류요리 전문점,한식 육류요리 전문점.1,세대,인구,한국인 총 인구,등록외국인 총 인구,세대당인구,65세이상고령자,구 면적,총 이동시간_출발,총 이동인구_출발,평균 이동 시간(분)_출발,이동인구(합)_출발,비율1
11010,11010,종로구,349,114,5468935,5205394,131.8896204119037,125.53402787826172,10239340,19809988.63,21.44332962658139,41.48627900742816,215,215,1548,5912,618,646,549,889,261,480,948,3613,400,962,537,1413,110,382,437,1982,73766,153684,144275,9409,1.96,28064,24,10995240,19862431.7,22.036271371910832,39.80758355863484,6.381498408739544e-05
11020,11020,중구,178,110,3776675,3598932,121.0201236901977,115.32451052648445,10285410,20275545.43,21.16626949338799,41.72489562368552,230,235,1588,6414,300,333,576,1152,339,816,869,3542,10810,24248,381,982,57,175,443,2121,63767,131450,122173,9277,1.92,24742,10,11181870,20296645.78,21.89359690016584,39.739916591122245,4.7131405270509114e-05
11030,11030,용산구,323,72,4189977,4086474,137.89169354307904,134.48542091752782,9488120,15247193.24,21.55362213489017,34.63618100452057,416,523,857,2987,455,466,791,1214,366,777,634,2076,54,317,487,1332,104,573,300,1184,111207,236518,222169,14349,2.0,39461,22,9917590,15148400.31,22.05109448477505,33.68144947804916,7.708872864934581e-05
11040,11040,성동구,435,60,2807280,2746738,96.37736885471024,94.29888766822302,9952210,18076235.5,21.950757408665424,39.86924113562776,1200,2527,956,2785,1072,1161,801,1453,489,851,547,1859,149,1572,285,621,258,1494,400,1545,134533,291609,285073,6536,2.12,46896,17,10081210,18121271.09,22.043333566568126,39.62353956390925,0.0001549542617765239
11050,11050,광진구,269,44,2749448,2753411,118.35254616675994,118.52313718737894,9761770,18715186.44,22.779080648059345,43.67186906270346,1119,1744,963,2861,968,985,871,1313,746,1337,590,1887,89,687,633,1577,413,1646,467,1678,169483,353110,340707,12403,2.01,52604,17,9670930,18675122.83,22.559682935136067,43.5640470791869,9.783782053706781e-05
11060,11060,동대문구,306,77,5240565,5115379,131.8414299730811,128.692017409243,9998260,16987577.97,21.985939743643307,37.355286383717015,1546,2093,1236,3566,1431,1456,842,1208,611,891,494,1472,211,976,499,1082,302,984,442,1509,169695,352592,337982,14610,1.99,62963,14,9970040,16973103.47,21.93975723326908,37.350478997773024,5.8390650626411466e-05
11070,11070,중랑구,380,52,3792541,3740923,87.40386255214214,86.2142610218709,9102380,14518503.71,23.849072225453668,38.039814156880624,3634,6262,991,2479,1804,1877,738,1104,790,1108,381,1037,63,284,535,1000,288,1045,499,1504,187693,393600,389043,4557,2.07,72851,19,8753830,14509927.8,23.65458873885681,39.20870918666519,0.0001001966755270411
11080,11080,성북구,602,103,6236424,6231238,123.2519219747426,123.14942983062906,10314120,19524264.96,22.508756576980407,42.60828139764789,1835,2643,973,2822,1312,1335,846,1175,739,1245,457,1384,85,454,512,1030,464,1755,365,1334,197296,442680,433150,9530,2.2,75719,25,10060910,19558088.65,22.24969149590209,43.252691725897975,9.652967790515846e-05
11090,11090,강북구,413,70,4825181,4671783,133.02037271875173,128.7915035562662,8765160,13079023.71,24.282441331202023,36.233294761016936,1713,2589,965,2663,1024,1030,589,867,673,997,358,1095,40,94,580,1275,220,740,362,1176,144725,300824,297384,3440,2.05,64961,24,8289750,13084060.28,23.74198075380914,37.47296448619544,8.559264408941344e-05
11100,11100,도봉구,359,48,3304305,3211421,106.85935579846064,103.85553974516526,8053130,11243990.02,25.102881812939323,35.04929792241393,2993,5783,672,2009,1571,1574,515,794,600,847,288,837,22,43,258,477,351,1162,302,943,138836,318100,316098,2002,2.28,65122,21,7630960,11253816.27,24.649077471703965,36.3514143818802,0.00010864614495332604
11110,11110,노원구,514,60,4353295,4292724,88.47621080015446,87.24516797756235,10256190,21371821.86,24.49754217005604,51.04791421241956,4114,6074,866,2650,1730,1736,714,1053,782,1353,535,1748,30,123,355,844,735,3281,428,1557,219065,514445,510486,3959,2.33,89426,36,10024920,21392595.19,24.538465115937523,52.363654853025054,0.00011807148378412214
11120,11120,은평구,501,73,5201660,5122499,106.39517283698098,104.776007363469,9222310,17168619.43,25.066142275881376,46.66412832715896,3108,4430,881,2585,1340,1349,1134,1614,947,1443,457,1296,26,74,484,925,551,1793,476,1639,215178,476013,472259,3754,2.19,88418,30,8830140,17191013.47,24.828453012265005,48.33742955073303,9.631540700468697e-05
11130,11130,서대문구,456,114,5863499,5796960,109.91450155588048,108.66719154200878,9470030,16908525.39,22.32828846076765,39.86665642602334,1747,2677,863,2694,802,808,667,956,598,1185,370,1323,22,68,497,1127,361,1268,311,1088,145044,317075,305866,11209,2.11,55012,18,9602500,16952589.75,22.486236620074514,39.69798952788855,7.776926371096849e-05
11140,11140,마포구,562,102,5088461,4957596,103.90763921504563,101.2353433664822,10722260,24539297.75,22.322323030865764,51.08756282034734,1165,1838,1411,4705,770,829,1149,1903,896,2042,1369,4475,96,1209,1011,2559,469,1855,701,2928,180702,378629,368331,10298,2.04,55168,24,11129940,24517465.86,22.785029356611176,50.191751201696704,0.00011044596784764588
11150,11150,양천구,319,60,4009172,3851173,97.62752642088346,93.7800857156772,8445360,15658707.46,23.23377212891512,43.07819216220306,2735,4942,831,2800,1286,1293,922,1364,838,1428,402,1375,25,52,415,851,1284,5804,281,1111,181765,449378,446182,3196,2.45,69953,17,8191370,15668364.41,23.13985547777646,44.26166661016853,7.956755160417163e-05
11160,11160,강서구,566,53,4681083,4652828,88.11947968826475,87.58759082865856,10718780,22770901.22,25.49698616060172,54.16561896696908,3735,6922,1325,4584,1799,1862,1311,2352,1015,1751,690,2530,78,700,794,1709,672,2347,581,2274,272572,578426,573046,5380,2.1,93924,41,10285720,22526485.94,25.5383408316698,55.93085128464877,0.00012091219061913664
11170,11170,구로구,486,83,4942197,4730992,119.23561485198678,114.14007575574804,9072360,15011749.82,23.480407888607072,38.85229520161499,2757,3817,1048,3215,1318,1351,789,1213,729,1134,421,1384,114,923,576,1165,336,1111,428,1496,181916,419984,396017,23967,2.18,73864,20,9006080,15038178.22,23.46586068083221,39.1828403705103,9.833683278914216e-05
11180,11180,금천구,345,61,3776658,3581930,123.098370273794,116.7513037809648,7190250,8452662.47,24.394484798930616,28.67749329090175,1100,2598,867,2619,935,997,671,1381,488,715,383,1215,200,2575,391,685,153,487,300,1042,118697,244901,231098,13803,1.95,41819,13,7157390,8467440.48,24.124298926818746,28.539881896133316,9.135060680633513e-05
11190,11190,영등포구,465,107,5739875,5783211,120.33785483668078,121.246404461403,10842320,25824111.41,21.87790945209985,52.108549748478055,1349,2397,1738,6476,1281,1429,986,1566,673,1261,838,3295,76,1220,636,1489,288,1082,494,2151,188193,400241,376740,23501,2.0,63547,25,11097330,25835980.43,22.16943118730884,51.61322500993869,8.101221716500794e-05
11200,11200,동작구,438,101,5314274,5112276,124.2959653841656,119.5714185475383,9528980,16460914.02,22.2151298197188,38.37570672889745,1033,1115,765,2322,830,844,883,1483,651,1105,486,1628,20,199,439,955,407,1463,331,1177,186419,394649,386017,8632,2.07,67470,16,9335100,16472620.89,21.92248892145328,38.68419716642831,8.241953651618265e-05
11210,11210,관악구,466,92,7655819,7792476,154.75367386953974,157.51603970002628,10091730,19700285.3,23.84246822927372,46.54340002882341,1286,2027,1226,3689,1579,1600,1010,2136,895,1604,581,2049,31,190,658,1672,354,1230,422,1628,279353,500336,486375,13961,1.74,80686,30,9814740,19706689.55,23.484396759234887,47.15353806654767,6.0868732659432e-05
11220,11220,서초구,600,100,7221330,6977950,126.6877774074139,122.41802775389904,11489820,29763430.8,22.95934393995708,59.4742863308835,417,903,1564,6712,386,411,1457,2758,676,1832,1012,3897,157,1563,446,1255,812,3812,445,2338,169895,413677,409823,3854,2.41,61404,47,11855300,29698071.2,23.21232424769889,58.14793874685991,8.308718754024536e-05
11230,11230,강남구,499,96,8030483,7569213,128.76792700917196,121.37151241100636,12904380,46152613.4,23.284572620501876,83.27745140318619,1796,2517,2415,11486,445,487,2337,6508,1241,6255,1624,7273,384,8320,713,2528,1426,9020,827,5008,234612,537338,532577,4761,2.27,79575,39,13568850,46220924.63,23.65501888029232,80.5784458363987,6.213823004170484e-05
11240,11240,송파구,415,59,5641742,5603488,114.27007210564692,113.49526047152231,11978610,36156898.5,25.60560652569836,77.2893779979992,2638,4850,1575,5760,1910,1931,1677,3190,1137,2328,975,3372,147,2830,628,1469,876,4160,639,2781,285106,668261,662607,5654,2.32,99854,34,11927950,36207933.02,25.43652570746167,77.21394028959547,7.355884051415325e-05
11250,11250,강동구,369,23,2890053,2830506,99.16119402985076,97.11806484817292,9596980,21996357.39,26.108476771106236,59.84084430370449,3295,4980,1101,3388,1528,1566,1188,1990,900,1429,546,1660,59,1433,589,1349,620,2104,428,1459,201926,465097,461300,3797,2.28,75477,25,9110600,22035184.61,25.274014974769266,61.12853004247197,0.00012767931937580383
